bloco;apto;pagar
01;11;1,38
01;12;13,46
01;13;2,31
01;22;1,62
01;24;18,47
01;32;24,82
01;33;7,72
01;43;12,07
01;44;9,07
01;51;12,22
01;53;19
01;54;7,42
01;63;19,17
01;64;3,8
01;71;1,6
01;74;8,3
01;81;8,19
01;83;6,03
01;84;2,2
01;91;11,71
01;93;8,8
01;94;29
01;101;8,63
01;102;0,46
01;103;17,63
01;111;6,57
01;112;1,99
01;113;6,55
01;114;11,42
01;124;18,69
01;131;10,88
01;133;15,14
01;134;6,25
01;141;24,72
01;142;9,75
01;144;14,37
01;152;13,05
01;153;9,71
01;154;12,11
01;162;26,99
01;163;9,34
01;173;19,76
01;174;10,91
01;181;11,73
01;182;23,83
01;183;8,55
01;184;6,89
01;191;7,08
01;192;27,23
01;193;1,92
01;201;5,91
01;203;3,57
01;204;9,29
01;213;11,66
01;214;11,64
01;223;7,42
01;231;5,57
01;233;6,38
01;234;5,78
01;241;2,37
01;242;13,97
01;243;15,79
01;244;5,89
01;251;2,24
01;252;0,58
01;253;21,4
01;261;0,22
01;262;23,27
01;263;13,5
01;264;27,91
02;12;2,04
02;13;2,73
02;14;15,89
02;21;7,22
02;23;1,47
02;24;6,63
02;32;11,28
02;33;3,07
02;34;9,31
02;41;23,75
02;42;11,04
02;43;0,38
02;44;4,64
02;61;11
02;62;7,48
02;63;5,44
02;64;4,39
02;71;5,93
02;72;14,41
02;73;14,2
02;74;27,18
02;82;3,42
02;83;3,15
02;91;12,2
02;92;9,89
02;93;26,46
02;94;5,74
02;101;2,05
02;102;11,4
02;103;8,67
02;111;5,84
02;113;7,56
02;114;9
02;121;3,48
02;122;6,76
02;124;16,76
02;131;14,71
02;133;5,54
02;134;2,07
02;142;14,81
02;144;13,92
02;151;10,11
02;152;4,56
02;153;3,92
02;162;3,93
02;164;14,31
02;171;6,7
02;172;7,4
02;173;3,07
02;174;18,23
02;181;0,79
02;183;12,05
02;184;5,29
02;191;8,42
02;192;11,98
02;193;21,66
02;194;10,89
02;201;12,01
02;202;10,83
02;203;20,38
02;204;4,1
02;211;17,7
02;212;5,46
02;213;12,61
02;214;9,82
02;222;3,11
02;223;13,35
02;224;1,17
02;233;7,48
02;234;1
02;241;12,28
02;242;5,78
02;244;3,5
02;251;14,76
02;252;13,14
02;254;3,73
02;261;14,47
02;262;13,43
03;11;9
03;13;4,73
03;14;3,11
03;22;0,64
03;23;0,45
03;24;7,5
03;31;2,2
03;32;30,23
03;33;7,89
03;41;3,75
03;44;5,93
03;51;22,54
03;53;26,83
03;54;4,53
03;61;16,12
03;62;18,3
03;63;7,61
03;71;4,88
03;72;8,68
03;73;3,2
03;74;9
03;81;21,77
03;83;11,75
03;84;4,91
03;91;5,7
03;92;12,79
03;93;11,37
03;94;6,4
03;101;20,93
03;104;10,38
03;111;7,29
03;112;6,32
03;113;2,41
03;114;8,09
03;122;15,75
03;123;4,67
03;124;0,77
03;131;15,91
03;132;16,44
03;134;10,38
03;142;1,37
03;143;6,34
03;153;5,67
03;154;3,27
03;161;9,1
03;163;27,18
03;164;12,96
03;171;1,89
03;172;0,15
03;173;14,99
03;181;8,21
03;182;29,1
03;183;36,65
03;184;2,84
03;191;4,39
03;192;28,25
03;193;8,14
03;194;0,86
03;202;6,69
03;203;11,72
03;204;9,4
03;211;4,69
03;212;3,41
03;213;13,39
03;214;8,79
03;222;12,64
03;223;3,74
03;224;26,48
03;231;9,82
03;232;10,24
03;233;8,67
03;234;8,36
03;241;1,23
03;242;10,36
03;243;1,05
03;244;31,62
03;252;6,5
03;253;10,04
03;254;15,5
03;262;48,38
03;263;16,57
03;264;24,05
04;12;10,6
04;21;19,98
04;22;3,73
04;23;1,96
04;33;5,76
04;34;6,27
04;41;7,91
04;42;8,2
04;43;18,08
04;44;5,61
04;52;5,99
04;53;7,31
04;61;38,25
04;64;8,23
04;71;20,06
04;72;21,36
04;73;2,35
04;74;2,39
04;81;1,56
04;82;5,48
04;83;7,44
04;91;1,73
04;92;2,11
04;93;5,24
04;101;12,47
04;102;2,19
04;103;11,84
04;104;22,67
04;111;4,07
04;112;2,45
04;121;15,55
04;122;1,98
04;123;7,06
04;124;4,98
04;132;2,33
04;133;24,07
04;141;20,32
04;142;20,75
04;144;14,52
04;151;3,68
04;152;1,68
04;153;21,56
04;161;4,86
04;162;2,35
04;164;10,81
04;171;7,7
04;172;7,16
04;173;24,61
04;174;22,66
04;181;26,46
04;182;19,95
04;184;18,34
04;191;2,96
04;192;8,49
04;193;5,41
04;201;0,01
04;202;8,94
04;203;5,18
04;212;3,09
04;213;15,97
04;214;5,06
04;221;29,34
04;222;30,07
04;223;1,26
04;224;6,33
04;231;11,68
04;232;9,28
04;234;10,74
04;243;8,55
04;244;10,7
04;251;16,41
04;254;27,73
04;261;14,07
04;262;5,5
04;263;14,24
04;264;1,36
05;12;2,5
05;13;6,91
05;22;4,65
05;24;8,87
05;31;7,81
05;33;28,32
05;41;7,99
05;42;7,06
05;43;10,42
05;44;2,05
05;52;14,04
05;53;4,42
05;54;3,12
05;61;19,61
05;62;13,88
05;63;11,88
05;64;13,35
05;72;6,82
05;73;6,25
05;81;5,72
05;82;3,58
05;84;3,56
05;92;16,01
05;93;5,09
05;101;24,9
05;102;15,05
05;103;20,85
05;104;15,27
05;113;15,71
05;114;13
05;122;11,55
05;124;7,1
05;132;7,06
05;133;23,68
05;134;9
05;142;10,25
05;144;8,55
05;151;9,85
05;154;5,35
05;161;4,71
05;162;2,17
05;163;23,88
05;164;14,79
05;171;17,96
05;173;16,82
05;174;12,28
05;182;4,26
05;183;25,72
05;184;6,44
05;191;9,98
05;192;5,52
05;193;0,44
05;202;15,95
05;211;33,5
05;212;19,82
05;214;11,09
05;221;3,71
05;222;15,6
05;223;7,01
05;224;10,47
05;231;0,69
05;233;21,9
05;241;16,27
05;242;9,74
05;244;6,25
05;251;5,53
05;252;8,06
05;253;1,77
05;254;2,86
05;261;10,98
05;262;2,26
05;263;7,54
05;264;3,45
06;13;14,71
06;14;17,73
06;21;4,9
06;22;7,69
06;23;4,52
06;24;16,88
06;31;9,23
06;33;1,09
06;41;1,67
06;42;11,11
06;52;22,5
06;61;20,62
06;62;3,09
06;63;4,01
06;64;3,16
06;71;9,34
06;74;6,27
06;81;3,42
06;82;10,26
06;83;36,59
06;84;8,74
06;93;14,42
06;104;2,77
06;112;21,02
06;113;14,56
06;114;4,71
06;121;4,37
06;122;12,71
06;123;15,97
06;124;4,88
06;132;11,58
06;133;1,67
06;134;0,32
06;141;6,23
06;142;11,64
06;143;13,03
06;144;5,41
06;151;5,55
06;152;4,9
06;153;17,14
06;154;17,42
06;161;12,45
06;162;6,29
06;163;5,74
06;164;12,2
06;171;21,75
06;172;4,16
06;173;0,98
06;174;4,6
06;181;3,17
06;182;17,38
06;183;12,48
06;184;2,45
06;192;6,4
06;193;7,57
06;194;15,53
06;201;5,1
06;202;11,56
06;204;25,31
06;212;2,88
06;213;6,31
06;214;9,55
06;221;1,98
06;222;2,58
06;223;8,58
06;224;3,2
06;231;0,49
06;232;11,64
06;233;6,2
06;234;4,95
06;241;3,66
06;242;0,19
06;243;9,17
06;244;6,8
06;251;9,14
06;252;5,8
06;261;0,89
06;263;23,8
06;264;22,45
07;11;13,2
07;12;6,23
07;14;5,61
07;21;7,91
07;22;7,23
07;23;13,39
07;24;2,15
07;31;2,29
07;34;5,12
07;42;17,38
07;43;2,92
07;53;3,45
07;61;7,27
07;63;6,74
07;64;9,87
07;71;2,54
07;73;9,34
07;74;9,64
07;81;5,71
07;82;8,91
07;83;39,91
07;84;4,01
07;91;7,31
07;92;11,36
07;94;2,34
07;101;4,78
07;102;7,34
07;103;1,94
07;104;10,28
07;111;0,53
07;112;12,26
07;113;9,51
07;114;6,16
07;122;4,88
07;123;30,07
07;124;4,6
07;131;7,74
07;134;9,92
07;141;15,92
07;152;6,93
07;154;10,98
07;161;5,31
07;162;3,86
07;163;2,99
07;164;5,93
07;171;1,28
07;172;14,91
07;182;22,9
07;183;19,28
